,d_subj,d_prop,d_obj,d_dom,d_range,y_subj,y_prop,y_obj,w_subj,w_prop,w_obj,w_obj_id,w_prop_id
32,Vladimir_Putin,award,Medal_%22For_Impeccable_Service%22,None,Award,Vladimir_Putin,award,Medal_%22For_Impeccable_Service%22,Q7747,award received,"Medal ""For Impeccable Service""",Q241181,P166
33,Vladimir_Putin,award,Distinguished_Service_Medal_of_the_National_People's_Army,None,Award,Vladimir_Putin,award,Distinguished_Service_Medal_of_the_National_People's_Army,Q7747,award received,Medal of Merit of the National People's Army,Q512656,P166
34,Vladimir_Putin,award,Olympic_Order,None,Award,Vladimir_Putin,award,Olympic_Order,Q7747,award received,Olympic Order,Q634353,P166
35,Vladimir_Putin,award,Order_of_the_Badge_of_Honour,None,Award,Vladimir_Putin,award,Order_of_the_Badge_of_Honour,Q7747,award received,Order of the Badge of Honour,Q960966,P166
36,Vladimir_Putin,award,Confucius_Peace_Prize,None,Award,Vladimir_Putin,award,Confucius_Peace_Prize,Q7747,award received,Confucius Peace Prize,Q1192712,P166
37,Vladimir_Putin,award,Order_of_Saint-Charles,None,Award,Vladimir_Putin,award,Order_of_Saint-Charles,Q7747,award received,Order of Saint-Charles,Q2029016,P166
38,Vladimir_Putin,award,Order_of_Zayed,None,Award,Vladimir_Putin,award,Order_of_Zayed,Q7747,award received,Order of Zayed,Q2329411,P166
39,Vladimir_Putin,award,Order_of_Ho_Chi_Minh,None,Award,Vladimir_Putin,award,Order_of_Ho_Chi_Minh,Q7747,award received,Order of Ho Chi Minh,Q2390786,P166
40,Vladimir_Putin,award,Order_of_the_Liberator,None,Award,Vladimir_Putin,award,Order_of_the_Liberator,Q7747,award received,Order of the Liberator,Q2452975,P166
41,Vladimir_Putin,relation,Igor_Putin,Person,Person,Vladimir_Putin,relatedTo,Igor_Putin,Q7747,relative,Igor Putin,Q1833348,P1038
42,Vladimir_Putin,relation,Roman_Putin,Person,Person,Vladimir_Putin,relatedTo,Roman_Putin,Q7747,relative,Roman Putin,Q15087614,P1038
43,Vladimir_Putin,relation,Kirill_Shamalov,Person,Person,Vladimir_Putin,relatedTo,Kirill_Shamalov,Q7747,relative,Kirill Shamalov,Q22682071,P1038
44,Vladimir_Putin,residence,Moscow_Kremlin,Person,Place,Vladimir_Putin,homeLocation,Moscow_Kremlin,Q7747,official residence,Moscow Kremlin,Q133274,P263
45,Vladimir_Putin,residence,Kremlin_Senate,Person,Place,Vladimir_Putin,homeLocation,Kremlin_Senate,Q7747,official residence,Kremlin Senate,Q930376,P263
46,Vladimir_Putin,residence,Moscow,Person,Place,Vladimir_Putin,homeLocation,Moscow,Q7747,residence,Moscow,Q649,P551
47,Vladimir_Putin,residence,Saint_Petersburg,Person,Place,Vladimir_Putin,homeLocation,Saint_Petersburg,Q7747,residence,Saint Petersburg,Q656,P551
48,Vladimir_Putin,residence,"Dresden,_Ohio",Person,Place,Vladimir_Putin,homeLocation,"Dresden,_Ohio",Q7747,residence,Dresden,Q1731,P551
